Index,Amplitude (0-4096)
0,284
1,284
2,284
3,284
4,284
5,284
6,284
7,284
8,284
9,284
10,284
11,284
12,284
13,284
14,284
15,284
16,284
17,284
18,284
19,284
20,284
21,284
22,284
23,284
24,284
25,284
26,284
27,284
28,284
29,284
30,284
31,284
32,284
33,284
34,284
35,284
36,284
37,284
38,284
39,284
40,284
41,284
42,284
43,284
44,284
45,284
46,284
47,284
48,284
49,284
50,284
51,284
52,284
53,284
54,284
55,284
56,284
57,284
58,284
59,284
60,284
61,284
62,284
63,284
64,284
65,284
66,284
67,284
68,284
69,284
70,284
71,284
72,284
73,284
74,284
75,284
76,284
77,284
78,284
79,284
80,284
81,284
82,284
83,284
84,284
85,284
86,284
87,284
88,284
89,284
90,284
91,284
92,284
93,284
94,284
95,284
96,284
97,284
98,284
99,284
100,284
101,284
102,284
103,284
104,284
105,284
106,284
107,284
108,284
109,284
110,284
111,284
112,284
113,284
114,284
115,284
116,284
117,284
118,284
119,284
120,284
121,284
122,284
123,284
124,284
125,284
126,284
127,284
128,284
129,284
130,284
131,284
132,284
133,284
134,284
135,284
136,284
137,284
138,284
139,284
140,284
141,284
142,284
143,284
144,284
145,284
146,284
147,284
148,284
149,284
150,284
151,284
152,284
153,284
154,284
155,284
156,284
157,284
158,284
159,284
160,284
161,284
162,284
163,284
164,284
165,284
166,284
167,284
168,284
169,284
170,284
171,284
172,284
173,284
174,284
175,284
176,284
177,284
178,284
179,284
180,284
181,284
182,284
183,284
184,284
185,284
186,284
187,284
188,284
189,284
190,284
191,284
192,284
193,284
194,284
195,284
196,284
197,284
198,284
199,284
200,284
201,284
202,284
203,284
204,284
205,284
206,284
207,284
208,284
209,284
210,284
211,284
212,284
213,284
214,284
215,284
216,284
217,284
218,284
219,284
220,284
221,284
222,284
223,284
224,284
225,284
226,284
227,284
228,284
229,284
230,284
231,284
232,284
233,284
234,284
235,284
236,284
237,284
238,284
239,284
240,284
241,284
242,284
243,284
244,284
245,284
246,284
247,284
248,284
249,284
250,284
251,284
252,284
253,284
254,284
255,284
256,284
257,284
258,284
259,284
260,284
261,284
262,284
263,284
264,284
265,284
266,284
267,284
268,284
269,284
270,284
271,284
272,284
273,284
274,284
275,284
276,284
277,284
278,284
279,284
280,284
281,284
282,284
283,284
284,284
285,284
286,284
287,284
288,284
289,284
290,284
291,284
292,284
293,284
294,284
295,284
296,284
297,284
298,284
299,284
300,284
301,284
302,284
303,284
304,284
305,284
306,284
307,284
308,284
309,284
310,284
311,284
312,284
313,284
314,284
315,284
316,284
317,284
318,284
319,284
320,284
321,284
322,284
323,284
324,284
325,284
326,284
327,284
328,284
329,284
330,284
331,284
332,284
333,284
334,284
335,284
336,284
337,284
338,284
339,284
340,284
341,284
342,284
343,284
344,284
345,284
346,284
347,284
348,284
349,284
350,284
351,284
352,284
353,284
354,284
355,284
356,284
357,284
358,284
359,284
360,284
361,284
362,284
363,284
364,284
365,284
366,284
367,284
368,284
369,284
370,284
371,284
372,284
373,284
374,284
375,284
376,284
377,284
378,284
379,284
380,284
381,284
382,284
383,284
384,284
385,284
386,284
387,284
388,284
389,284
390,284
391,284
392,284
393,284
394,284
395,284
396,284
397,284
398,284
399,284
400,284
401,284
402,284
403,284
404,284
405,284
406,284
407,284
408,284
409,284
410,284
411,284
412,284
413,284
414,284
415,284
416,284
417,284
418,284
419,284
420,284
421,284
422,284
423,284
424,284
425,284
426,284
427,284
428,284
429,284
430,284
431,284
432,284
433,284
434,284
435,284
436,284
437,284
438,284
439,284
440,284
441,284
442,284
443,284
444,284
445,284
446,284
447,284
448,284
449,284
450,284
451,284
452,284
453,284
454,284
455,284
456,284
457,284
458,284
459,284
460,284
461,284
462,284
463,284
464,284
465,284
466,284
467,284
468,284
469,284
470,284
471,284
472,284
473,284
474,284
475,284
476,284
477,284
478,284
479,284
480,284
481,284
482,284
483,284
484,284
485,284
486,284
487,284
488,284
489,284
490,284
491,284
492,284
493,284
494,284
495,284
496,284
497,284
498,284
499,284
500,284
501,284
502,284
503,284
504,284
505,284
506,284
507,284
508,284
509,284
510,284
511,284
512,284
513,284
514,284
515,284
516,284
517,284
518,284
519,284
520,284
521,284
522,284
523,284
524,284
525,284
526,284
527,284
528,284
529,284
530,284
531,284
532,284
533,284
534,284
535,284
536,284
537,284
538,284
539,284
540,284
541,284
542,284
543,284
544,284
545,284
546,284
547,284
548,284
549,284
550,284
551,284
552,284
553,284
554,284
555,284
556,284
557,284
558,284
559,284
560,284
561,284
562,284
563,284
564,284
565,284
566,284
567,284
568,284
569,284
570,284
571,284
572,284
573,284
574,284
575,284
576,284
577,284
578,284
579,284
580,284
581,284
582,284
583,284
584,284
585,284
586,284
587,284
588,284
589,284
590,284
591,284
592,284
593,284
594,284
595,284
596,284
597,284
598,284
599,284
600,284
601,284
602,284
603,284
604,284
605,284
606,284
607,284
608,284
609,284
610,284
611,284
612,284
613,284
614,284
615,284
616,284
617,284
618,284
619,284
620,284
621,284
622,284
623,284
624,284
625,284
626,284
627,284
628,284
629,284
630,284
631,284
632,284
633,284
634,284
635,284
636,284
637,284
638,284
639,284
640,284
641,284
642,284
643,284
644,284
645,284
646,284
647,284
648,284
649,284
650,284
651,284
652,284
653,284
654,284
655,284
656,284
657,284
658,284
659,284
660,284
661,284
662,284
663,284
664,284
665,284
666,284
667,284
668,284
669,284
670,284
671,284
672,284
673,284
674,284
675,284
676,284
677,284
678,284
679,284
680,284
681,284
682,284
683,284
684,284
685,284
686,284
687,284
688,284
689,284
690,284
691,284
692,284
693,284
694,284
695,284
696,284
697,284
698,284
699,284
700,284
701,284
702,284
703,284
704,284
705,284
706,284
707,284
708,284
709,284
710,284
711,284
712,284
713,284
714,284
715,284
716,284
717,284
718,284
719,284
720,284
721,284
722,284
723,284
724,284
725,284
726,284
727,284
728,284
729,284
730,284
731,284
732,284
733,284
734,284
735,284
736,284
737,284
738,284
739,284
740,284
741,284
742,284
743,284
744,284
745,284
746,284
747,284
748,284
749,284
750,284
751,284
752,284
753,284
754,284
755,284
756,284
757,284
758,284
759,284
760,284
761,284
762,284
763,284
764,284
765,284
766,284
767,284
768,284
769,284
770,284
771,284
772,284
773,284
774,284
775,284
776,284
777,284
778,284
779,284
780,284
781,284
782,284
783,284
784,284
785,284
786,284
787,284
788,284
789,284
790,284
791,284
792,284
793,284
794,284
795,284
796,284
797,284
798,284
799,284
800,284
801,284
802,284
803,284
804,284
805,284
806,284
807,284
808,284
809,284
810,284
811,284
812,284
813,284
814,284
815,284
816,284
817,284
818,284
819,284
820,284
821,284
822,284
823,284
824,284
825,284
826,284
827,284
828,284
829,284
830,284
831,284
832,284
833,284
834,284
835,284
836,284
837,284
838,284
839,284
840,284
841,284
842,284
843,284
844,284
845,284
846,284
847,284
848,284
849,284
850,284
851,284
852,284
853,284
854,284
855,284
856,284
857,284
858,284
859,284
860,284
861,284
862,284
863,284
864,284
865,284
866,284
867,284
868,284
869,284
870,284
871,284
872,284
873,284
874,284
875,284
876,284
877,284
878,284
879,284
880,284
881,284
882,284
883,284
884,284
885,284
886,284
887,284
888,284
889,284
890,284
891,284
892,284
893,284
894,284
895,284
896,284
897,284
898,284
899,284
900,284
901,284
902,284
903,284
904,284
905,284
906,284
907,284
908,284
909,284
910,284
911,284
912,284
913,284
914,284
915,284
916,284
917,284
918,284
919,284
920,284
921,284
922,284
923,284
924,284
925,284
926,284
927,284
928,284
929,284
930,284
931,284
932,284
933,284
934,284
935,284
936,284
937,284
938,284
939,284
940,284
941,284
942,284
943,284
944,284
945,284
946,284
947,284
948,284
949,284
950,284
951,284
952,284
953,284
954,284
955,284
956,284
957,284
958,284
959,284
960,284
961,284
962,284
963,284
964,284
965,284
966,284
967,284
968,284
969,284
970,284
971,284
972,284
973,284
974,284
975,284
976,284
977,284
978,284
979,284
980,284
981,284
982,284
983,284
984,284
985,284
986,284
987,284
988,284
989,284
990,284
991,284
992,284
993,284
994,284
995,284
996,284
997,284
998,284
999,284
