Index,Amplitude (0-4096)
0,305
1,314
2,339
3,382
4,379
5,381
6,379
7,376
8,374
9,371
10,375
11,375
12,374
13,368
14,366
15,366
16,371
17,373
18,369
19,356
20,333
21,308
22,283
23,271
24,248
25,240
26,234
27,234
28,233
29,240
30,245
31,244
32,247
33,249
34,260
35,262
36,266
37,257
38,256
39,256
40,265
41,261
42,261
43,259
44,255
45,256
46,256
47,254
48,240
49,240
50,237
51,238
52,238
53,235
54,236
55,227
56,227
57,225
58,225
59,221
60,224
61,224
62,223
63,223
64,221
65,222
66,222
67,223
68,222
69,221
70,220
71,223
72,219
73,220
74,222
75,221
76,220
77,214
78,217
79,220
80,214
81,215
82,217
83,219
84,215
85,218
86,221
87,217
88,218
89,220
90,216
91,219
92,214
93,214
94,216
95,219
96,214
97,215
98,218
99,216
100,215
101,217
102,215
103,215
104,218
105,219
106,220
107,217
108,217
109,221
110,221
111,219
112,223
113,219
114,218
115,215
116,216
117,219
118,219
119,222
120,219
121,220
122,219
123,221
124,221
125,215
126,215
127,215
128,219
129,215
130,214
131,213
132,214
133,214
134,217
135,211
136,215
137,213
138,215
139,212
140,211
141,213
142,212
143,214
144,214
145,215
146,213
147,214
148,214
149,212
150,214
151,214
152,213
153,213
154,214
155,214
156,218
157,215
158,217
159,215
160,217
161,214
162,215
163,217
164,210
165,212
166,214
167,215
168,215
169,213
170,211
171,215
172,215
173,215
174,216
175,214
176,211
177,214
178,215
179,214
180,216
181,215
182,213
183,218
184,213
185,211
186,211
187,217
188,213
189,213
190,211
191,213
192,210
193,213
194,214
195,214
196,214
197,211
198,211
199,213
200,213
201,213
202,214
203,213
204,214
205,217
206,218
207,214
208,219
209,217
210,218
211,218
212,214
213,220
214,217
215,215
216,216
217,214
218,215
219,219
220,214
221,218
222,220
223,215
224,213
225,212
226,215
227,213
228,212
229,216
230,214
231,213
232,214
233,212
234,215
235,213
236,213
237,215
238,217
239,215
240,213
241,218
242,214
243,212
244,215
245,213
246,211
247,215
248,214
249,213
250,211
251,214
252,215
253,213
254,215
255,211
256,208
257,213
258,211
259,214
260,218
261,215
262,214
263,214
264,213
265,214
266,222
267,218
268,222
269,222
270,222
271,222
272,223
273,224
274,219
275,221
276,221
277,218
278,222
279,218
280,222
281,221
282,222
283,221
284,223
285,225
286,221
287,223
288,225
289,222
290,224
291,223
292,222
293,221
294,217
295,220
296,217
297,223
298,220
299,217
300,221
301,219
302,220
303,219
304,222
305,222
306,219
307,209
308,212
309,211
310,208
311,210
312,208
313,211
314,210
315,210
316,208
317,209
318,210
319,210
320,210
321,210
322,215
323,212
324,215
325,214
326,210
327,210
328,211
329,213
330,213
331,211
332,211
333,211
334,209
335,211
336,211
337,209
338,211
339,211
340,210
341,214
342,212
343,211
344,209
345,210
346,209
347,210
348,210
349,210
350,211
351,211
352,211
353,209
354,210
355,209
356,208
357,208
358,211
359,216
360,210
361,214
362,213
363,210
364,212
365,211
366,211
367,210
368,210
369,213
370,213
371,211
372,210
373,213
374,211
375,210
376,214
377,212
378,214
379,213
380,211
381,214
382,217
383,214
384,215
385,217
386,214
387,214
388,212
389,214
390,218
391,215
392,215
393,213
394,211
395,217
396,213
397,215
398,213
399,211
400,211
401,217
402,214
403,215
