Index,Amplitude (0-4096)
0,1514
1,1284
2,1134
3,1079
4,1072
5,1126
6,1216
7,1254
8,1289
9,1297
10,1265
11,1218
12,1150
13,1072
14,1043
15,1008
16,1040
17,1055
18,1073
19,1091
20,1107
21,1147
22,1257
23,1499
24,1872
25,2259
26,2544
27,2627
28,2538
29,2320
30,2035
31,1737
32,1454
33,1199
34,1059
35,1002
36,1070
37,1151
38,1246
39,1317
40,1360
41,1343
42,1314
43,1261
44,1200
45,1157
46,1103
47,1077
48,1082
49,1104
50,1120
51,1113
52,1119
53,1173
54,1392
55,1762
56,2180
57,2492
58,2608
59,2546
60,2325
61,2053
62,1755
63,1457
64,1216
65,1038
66,944
67,944
68,1040
69,1129
70,1218
71,1261
72,1253
73,1200
74,1159
75,1110
76,1087
77,1040
78,1007
79,1008
80,1008
81,1022
82,1035
83,1040
84,1071
85,1200
86,1491
87,1925
88,2374
89,2682
90,2774
91,2634
92,2381
93,2093
94,1778
95,1501
96,1261
97,1095
98,1036
99,1070
100,1138
101,1232
102,1299
103,1326
104,1279
105,1243
106,1175
107,1118
108,1034
109,986
110,967
111,969
112,1023
113,1051
114,1103
115,1120
116,1136
117,1213
118,1482
119,1887
120,2297
121,2559
122,2635
123,2479
124,2237
125,1908
126,1579
127,1284
128,1063
129,897
130,885
131,928
132,1013
133,1102
134,1163
135,1183
136,1173
137,1118
138,1059
139,1021
140,960
141,944
142,963
143,987
144,1011
145,982
146,1021
147,1040
148,1072
149,1128
150,1285
151,1623
152,2078
153,2480
154,2749
155,2775
156,2559
157,2288
158,1936
159,1598
160,1299
161,1081
162,960
163,945
164,975
165,1021
166,1116
167,1200
168,1295
169,1345
170,1332
171,1266
172,1188
173,1121
174,1105
175,1088
176,1084
177,1081
178,1058
179,1015
180,1008
181,1040
182,1191
183,1565
184,2010
185,2416
186,2633
187,2645
188,2463
189,2224
190,1889
191,1590
192,1298
193,1092
194,978
195,967
196,993
197,1102
198,1155
199,1191
200,1162
201,1131
202,1043
203,964
204,909
205,879
206,864
207,861
208,881
209,897
210,944
211,989
212,1077
213,1312
214,1711
215,2145
216,2507
217,2685
218,2605
219,2337
220,2032
221,1705
222,1409
223,1153
224,1009
225,928
226,947
227,1002
228,1134
229,1223
230,1264
231,1255
232,1191
233,1157
234,1083
235,1040
236,1040
237,1047
238,1047
239,1020
240,997
241,1002
242,1039
243,1158
244,1418
245,1819
246,2240
247,2556
248,2634
249,2506
250,2258
251,1965
252,1643
253,1321
254,1091
255,941
256,880
257,892
258,987
259,1088
260,1155
261,1207
262,1194
263,1156
264,1132
265,1049
266,1010
267,1018
268,1047
269,1072
270,1077
271,1119
272,1147
273,1171
274,1258
275,1485
276,1847
277,2258
278,2548
279,2655
280,2542
281,2317
282,2015
283,1677
284,1341
285,1072
286,901
287,868
288,899
289,1053
290,1178
291,1249
292,1270
293,1245
294,1180
295,1152
296,1117
297,1079
298,1021
299,1011
300,1001
301,1015
302,1042
303,1082
304,1150
305,1330
306,1661
307,2081
308,2433
309,2613
310,2545
311,2349
312,2054
313,1731
314,1418
315,1168
316,997
317,915
318,947
319,1052
320,1126
321,1205
322,1261
323,1265
324,1258
325,1203
326,1168
327,1109
328,1054
329,1045
330,1023
331,1050
332,1051
333,1071
334,1075
335,1189
336,1474
337,1894
338,2310
339,2595
340,2669
341,2509
342,2256
343,1969
344,1693
345,1420
346,1200
347,1049
348,994
349,1023
350,1087
351,1153
352,1173
353,1174
354,1155
355,1124
356,1057
357,1012
358,988
359,971
360,978
361,989
362,987
363,1005
364,1042
365,1082
366,1137
367,1299
368,1585
369,1980
370,2306
371,2496
372,2486
373,2317
374,2112
375,1840
376,1584
377,1351
378,1196
379,1099
380,1088
381,1103
382,1181
383,1245
384,1257
385,1275
386,1242
387,1221
388,1171
389,1153
390,1131
391,1090
392,1072
393,1066
394,1081
395,1115
396,1123
397,1123
398,1187
399,1302
400,1566
401,1926
402,2257
403,2479
404,2531
405,2443
406,2252
407,2038
408,1806
409,1535
410,1360
411,1230
412,1153
413,1139
414,1179
415,1250
416,1264
417,1262
418,1229
419,1182
420,1114
421,1081
422,1061
423,1055
424,1040
425,1068
426,1065
427,1091
428,1154
429,1225
430,1296
431,1360
432,1503
433,1777
434,2118
435,2403
436,2533
437,2479
438,2288
439,2026
440,1787
441,1578
442,1408
443,1297
444,1216
445,1217
446,1268
447,1343
448,1376
449,1394
450,1383
451,1328
452,1265
453,1227
454,1215
455,1211
456,1197
457,1184
458,1179
459,1178
460,1186
461,1193
462,1223
463,1323
464,1515
465,1802
466,2128
467,2369
468,2416
469,2301
470,2096
471,1841
472,1603
473,1406
474,1232
475,1136
476,1079
477,1110
478,1183
479,1231
480,1273
481,1313
482,1261
483,1216
484,1152
485,1095
486,1052
487,1009
488,1005
489,1008
490,973
491,987
492,999
493,1088
494,1178
495,1349
496,1683
497,2097
498,2458
499,2679
500,2690
501,2481
502,2211
503,1891
504,1579
505,1307
506,1134
507,1040
508,1019
509,1018
510,1070
511,1087
512,1116
513,1108
514,1097
515,1046
516,973
517,918
518,880
519,874
520,910
521,954
522,949
523,995
524,1023
525,1065
526,1088
527,1136
528,1264
529,1579
530,1975
531,2381
532,2611
533,2601
534,2434
535,2167
536,1899
537,1618
538,1367
539,1157
540,1040
541,975
542,1006
543,1086
544,1145
545,1163
546,1175
547,1178
548,1136
549,1117
550,1061
551,1005
552,963
553,976
554,1003
555,997
556,1061
557,1067
558,1072
559,1095
560,1104
561,1137
562,1196
563,1328
564,1616
565,2043
566,2413
567,2640
568,2670
569,2479
570,2222
571,1852
572,1554
573,1269
574,1141
575,1036
576,975
577,1023
578,1110
579,1179
580,1248
581,1248
582,1184
583,1136
584,1041
585,981
586,949
587,957
588,951
589,979
590,1004
591,1065
592,1104
593,1137
594,1164
595,1182
596,1190
597,1214
598,1318
599,1610
600,1970
601,2349
602,2544
603,2587
604,2416
605,2192
606,1893
607,1627
608,1390
609,1205
610,1088
611,1072
612,1134
613,1204
614,1274
615,1325
616,1317
617,1290
618,1247
619,1164
620,1104
621,1074
622,1055
623,1051
624,1085
625,1102
626,1085
627,1111
628,1123
629,1130
630,1193
631,1364
632,1703
633,2113
634,2416
635,2583
636,2523
637,2317
638,2071
639,1745
640,1470
641,1236
642,1072
643,985
644,998
645,1071
646,1158
647,1223
648,1271
