Index,Amplitude (0-4096)
0,1456
1,1489
2,1535
3,1586
4,1654
5,1858
6,2306
7,3131
8,4095
9,4095
10,4095
11,4095
12,4095
13,3914
14,2979
15,2390
16,1952
17,1605
18,1281
19,995
20,777
21,645
22,603
23,655
24,730
25,793
26,839
27,841
28,901
29,935
30,925
31,913
32,913
33,897
34,898
35,934
36,943
37,1003
38,1076
39,1101
40,1149
41,1196
42,1243
43,1305
44,1360
45,1458
46,1515
47,1553
48,1525
49,1557
50,1577
51,1579
52,1594
53,1628
54,1819
55,2297
56,3046
57,4095
58,4095
59,4095
60,4095
61,4095
62,3328
63,2559
64,2018
65,1586
66,1245
67,969
68,759
69,615
70,576
71,605
72,725
73,816
74,849
75,982
76,1092
77,1156
78,1136
79,1108
80,1065
81,1058
82,1010
83,1034
84,1059
85,1008
86,1035
87,1046
88,1094
89,1163
90,1222
91,1274
92,1328
93,1333
94,1373
95,1451
96,1447
97,1590
98,1918
99,2528
100,3386
101,4095
102,4095
103,4095
104,3824
105,3171
106,2559
107,2110
108,1664
109,1311
110,1042
111,858
112,738
113,656
114,657
115,718
116,826
117,881
118,1058
119,1149
120,1174
121,1140
122,1101
123,1098
124,1072
125,1077
126,1076
127,1035
128,1059
129,1059
130,1046
131,1069
132,1137
133,1216
134,1296
135,1309
136,1346
137,1405
138,1533
139,1906
140,2642
141,3949
142,4095
143,4095
144,4095
145,4095
146,4095
147,3339
148,2691
149,2218
150,1839
151,1566
152,1269
153,1011
154,810
155,709
156,721
157,766
158,784
159,742
160,699
161,677
162,661
163,597
164,538
165,485
166,453
167,432
168,448
169,495
170,496
171,554
172,658
173,779
174,879
175,975
176,1039
177,1104
178,1184
179,1239
180,1302
181,1377
182,1600
183,2113
184,2899
185,4095
186,4095
187,4095
188,4095
189,4095
190,3917
191,3218
192,2714
193,2336
194,2015
195,1758
196,1499
197,1250
198,1053
199,989
200,1066
201,1157
202,1158
203,1153
204,1121
205,1123
206,1100
207,1017
208,934
209,867
210,869
211,880
212,876
213,878
214,901
215,944
216,1072
217,1136
218,1175
219,1242
220,1265
221,1260
222,1261
223,1269
224,1298
225,1303
226,1310
227,1341
228,1361
229,1343
230,1364
231,1766
232,2629
233,4095
234,4095
235,4095
236,4095
237,4095
238,4095
239,4095
240,3487
241,2862
242,2435
243,1954
244,1526
245,1164
246,846
247,609
248,507
249,549
250,573
251,565
252,439
253,356
254,295
255,204
256,65
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,57
265,191
266,299
267,330
268,405
269,459
270,511
271,573
272,592
273,644
274,667
275,693
276,738
277,775
278,831
279,961
280,1313
281,2015
282,2882
283,3806
284,4095
285,3728
286,3058
287,2581
288,2000
289,1511
290,1104
291,780
292,493
293,267
294,112
295,26
296,0
297,0
298,64
299,166
300,209
301,230
302,359
303,448
304,546
305,551
306,502
307,435
308,447
309,415
310,481
311,573
312,627
313,670
314,749
315,835
316,875
317,907
318,909
319,983
320,995
321,973
322,937
323,937
324,957
325,1118
326,1504
327,2209
328,3010
329,3673
330,3701
331,3306
332,2933
333,2556
334,2137
335,1744
336,1392
337,1099
338,857
339,673
340,503
341,338
342,279
343,336
344,416
345,494
346,477
347,528
348,624
349,644
350,633
351,624
352,641
353,686
354,672
355,657
356,691
357,726
358,753
359,785
360,781
361,725
362,752
363,704
364,768
365,831
366,879
367,931
368,1008
369,1072
370,1104
371,1087
372,1085
373,1113
374,1227
375,1529
376,2186
377,3098
378,4095
379,4095
380,4095
381,3990
382,3457
383,2834
384,2350
385,1936
386,1625
387,1370
388,1109
389,853
390,604
391,467
392,475
393,539
394,560
395,592
396,666
397,640
398,656
399,630
400,598
401,498
402,454
403,431
404,420
405,421
406,464
407,493
408,631
409,720
410,746
411,819
412,928
413,1043
414,1093
415,1090
416,1088
417,1126
418,1157
419,1208
420,1241
421,1253
422,1267
423,1295
424,1307
425,1321
426,1471
427,1936
428,2770
429,3989
430,4095
431,4095
432,4095
433,3743
434,2983
435,2397
436,1930
437,1511
438,1207
439,928
440,705
441,490
442,285
443,183
444,226
445,310
446,400
447,431
448,432
449,434
450,448
451,420
452,415
453,413
454,384
455,411
456,420
457,400
458,402
459,422
460,411
461,499
462,585
463,659
464,754
465,848
466,937
467,963
468,1011
469,1086
470,1183
471,1229
472,1241
473,1280
474,1371
475,1596
476,2163
477,2949
478,4095
479,4095
480,4095
481,3746
482,3071
483,2438
484,1920
485,1424
486,1062
487,763
488,506
489,298
490,143
491,100
492,191
493,387
494,507
495,683
496,848
497,942
498,991
499,897
500,816
501,784
502,664
503,587
504,559
505,586
506,622
507,612
508,625
509,655
510,704
511,816
512,928
513,993
514,1041
515,1087
516,1115
517,1159
518,1160
519,1242
520,1616
521,2338
522,3310
523,4095
524,4095
525,4079
526,3413
527,2817
528,2272
529,1826
530,1423
531,1078
532,784
533,567
534,363
535,278
536,277
537,365
538,438
539,511
540,613
541,738
542,768
543,701
544,688
545,623
546,538
547,447
548,399
549,313
550,320
551,397
552,384
553,478
554,582
555,695
556,789
557,848
558,871
559,934
560,995
561,1158
562,1279
563,1383
564,1427
565,1449
566,1447
567,1621
568,2112
569,2911
570,4095
571,4095
572,4095
573,4095
574,3520
575,2706
576,2113
577,1679
578,1296
579,976
580,709
581,427
582,129
583,2
584,0
585,0
586,1
587,133
588,207
589,368
590,549
591,576
592,592
593,548
594,480
595,494
596,569
597,657
598,723
599,727
600,743
601,760
602,844
603,923
604,929
605,923
606,943
607,998
608,1070
609,1088
610,1065
611,991
612,1053
613,1307
614,1890
615,2698
616,3791
617,4095
618,4095
619,4095
620,3694
621,2986
622,2407
623,1981
624,1637
625,1342
626,1050
627,816
628,598
629,418
630,337
631,375
632,495
633,617
634,688
635,773
636,753
637,711
638,717
639,665
640,579
641,555
642,446
643,400
644,395
645,448
646,484
647,589
648,656
649,720
650,770
651,870
652,957
653,1046
654,1077
655,1120
656,1201
657,1511
658,2115
659,3030
660,4095
661,4095
662,4095
663,4095
664,3519
665,2818
666,2278
667,1795
668,1392
669,1066
670,803
671,569
672,401
673,315
674,336
675,493
676,595
677,673
678,767
679,761
680,771
681,817
682,801
683,778
684,741
685,601
686,421
687,353
688,400
689,451
690,465
691,560
692,673
693,783
694,882
695,947
696,1072
697,1344
698,1931
699,2752
700,4031
701,4095
702,4095
703,4095
704,4031
705,3360
706,2723
707,2266
708,1869
709,1509
710,1165
711,879
712,661
713,596
714,639
715,694
716,715
717,775
718,793
719,815
720,721
721,611
722,494
723,374
724,327
725,326
726,321
727,368
728,380
729,464
730,551
731,663
732,766
733,853
734,950
735,1055
736,1127
737,1187
738,1233
739,1427
740,1901
741,2748
742,4091
743,4095
744,4095
745,4095
746,4057
747,3309
748,2663
749,2156
750,1751
751,1434
752,1176
753,950
754,738
755,587
756,535
757,575
758,672
759,789
760,815
761,913
762,927
763,895
764,864
765,730
766,703
767,700
768,694
769,725
770,711
771,656
772,607
773,619
774,655
775,656
776,796
777,937
778,1065
779,1133
780,1168
781,1265
782,1532
783,2033
784,2865
785,4095
786,4095
787,4095
788,4095
789,4095
790,3707
791,2901
792,2405
793,2004
794,1657
795,1338
796,1043
797,774
798,597
799,524
800,535
801,624
802,773
803,755
804,804
805,815
806,795
807,785
808,730
809,658
810,624
811,595
812,591
813,646
814,643
815,645
816,759
817,878
818,1019
819,1091
820,1171
821,1245
822,1317
823,1414
824,1619
825,2093
826,2832
827,3859
828,4095
829,4095
830,4095
831,3803
832,3163
833,2614
834,2252
835,1899
836,1535
837,1211
838,957
839,771
840,693
841,717
842,784
843,895
844,923
845,1017
846,1104
847,1127
848,1072
849,1063
850,893
851,823
852,762
853,720
854,695
855,719
856,758
857,888
858,1103
859,1262
860,1345
861,1405
862,1436
863,1434
864,1511
865,1751
866,2275
867,3101
868,4095
869,4095
870,4095
871,4095
872,4095
873,3507
874,2705
875,2163
876,1738
877,1383
878,1050
879,751
880,546
881,384
882,336
883,349
884,411
885,509
886,575
887,571
888,559
889,560
890,504
891,435
892,410
893,462
894,462
895,559
896,656
897,723
898,812
899,852
900,880
901,925
902,973
903,1062
904,1102
905,1121
906,1138
907,1171
908,1282
909,1648
910,2421
911,3775
912,4095
913,4095
914,4095
915,4095
916,4095
917,3376
918,2615
919,2083
920,1620
921,1227
922,806
923,545
924,344
925,196
926,134
927,147
928,250
929,335
930,393
931,384
932,382
933,396
934,384
935,381
936,357
937,368
938,364
939,368
940,350
941,415
942,528
943,628
944,745
945,833
946,899
947,995
948,1097
949,1169
950,1206
951,1239
952,1297
953,1375
954,1593
955,2099
956,2910
957,4095
958,4095
959,4095
960,4095
961,4095
962,3503
963,2742
964,2221
965,1793
966,1450
967,1102
968,810
969,565
970,402
971,372
972,374
973,436
974,544
975,585
976,720
977,819
978,873
979,875
980,837
981,815
982,801
983,783
984,767
985,800
986,842
987,891
988,945
989,981
990,1040
991,1053
992,1104
993,1146
994,1171
995,1233
996,1495
997,2039
998,2861
999,4021
1000,4095
1001,4095
1002,4095
1003,3751
1004,3047
1005,2482
1006,2032
1007,1664
1008,1325
1009,989
1010,748
1011,592
1012,507
1013,528
