Index,Amplitude (0-4096)
0,550
1,576
2,579
3,612
4,642
5,685
6,702
7,697
8,671
9,653
10,658
11,637
12,622
13,623
14,635
15,660
16,780
17,933
18,1089
19,1177
20,1191
21,1150
22,1057
23,912
24,839
25,725
26,656
27,617
28,574
29,577
30,653
31,751
32,796
33,785
34,748
35,687
36,643
37,625
38,577
39,547
40,531
41,539
42,606
43,667
44,659
45,641
46,580
47,560
48,557
49,576
50,615
51,703
52,827
53,967
54,1054
55,1104
56,1063
57,949
58,838
59,741
60,640
61,571
62,507
63,496
64,477
65,494
66,560
67,576
68,624
69,631
70,655
71,658
72,626
73,624
74,609
75,614
76,621
77,656
78,682
79,694
80,705
81,704
82,732
83,723
84,740
85,743
86,729
87,738
88,737
89,778
90,818
91,945
92,1125
93,1258
94,1350
95,1366
96,1272
97,1161
98,1012
99,891
100,759
101,683
102,629
103,615
104,603
105,603
106,627
107,653
108,649
109,640
110,661
111,674
112,658
113,654
114,614
115,608
116,592
117,631
118,671
119,688
120,690
121,694
122,687
123,684
124,662
125,655
126,654
127,663
128,691
129,704
130,708
131,688
132,682
133,691
134,745
135,912
136,1088
137,1226
138,1314
139,1309
140,1223
141,1088
142,950
143,835
144,734
145,658
146,606
147,576
148,528
149,528
150,554
151,617
152,626
153,640
154,642
155,624
156,613
157,587
158,563
159,569
160,562
161,550
162,546
163,553
164,560
165,592
166,649
167,642
168,630
169,624
170,605
171,606
172,660
173,742
174,907
175,1074
176,1211
177,1278
178,1245
179,1152
180,1002
181,891
182,773
183,689
184,604
185,525
186,465
187,465
188,531
189,598
190,642
191,662
192,670
193,672
194,637
195,591
196,586
197,574
198,585
199,581
200,560
201,560
202,576
203,582
204,587
205,608
206,649
207,642
208,641
209,663
210,749
211,881
212,1047
213,1200
214,1291
215,1296
216,1213
217,1098
218,954
219,790
220,703
221,639
222,552
223,496
224,501
225,522
226,550
227,575
228,592
229,621
230,642
231,626
232,640
233,639
234,583
235,560
236,550
237,539
238,585
239,616
240,628
241,618
242,599
243,592
244,598
245,629
246,643
247,633
248,672
249,826
250,1018
251,1200
252,1266
253,1238
254,1129
255,1005
256,878
257,784
258,679
259,592
260,527
261,475
262,463
263,496
264,534
265,571
266,603
267,636
268,629
269,608
270,606
271,594
272,587
273,586
274,559
275,558
276,590
277,576
278,590
279,587
280,613
281,638
282,635
283,651
284,666
285,675
286,718
287,819
288,985
289,1170
290,1323
291,1344
292,1287
293,1179
294,1048
295,903
296,743
297,690
298,631
299,597
300,563
301,549
302,566
303,597
304,634
305,653
306,673
307,702
308,693
309,658
310,643
311,620
312,576
313,576
314,577
315,574
316,608
317,607
318,607
319,627
320,660
321,690
322,738
323,749
324,754
325,753
326,751
327,784
328,922
329,1135
330,1333
331,1437
332,1435
333,1361
334,1231
335,1081
336,944
337,819
338,705
339,634
340,579
341,558
342,560
343,592
344,621
345,644
346,656
347,677
348,675
349,669
350,656
351,629
352,610
353,649
354,672
355,675
356,688
357,665
358,672
359,691
360,711
361,720
362,709
363,688
364,682
365,675
366,762
367,917
368,1137
369,1302
370,1343
371,1311
372,1170
373,1051
374,926
375,817
376,733
377,702
378,682
379,657
380,665
381,646
382,644
383,653
384,655
385,709
386,702
387,688
388,641
389,592
390,570
391,583
392,611
393,617
394,624
395,647
396,656
397,642
398,643
399,607
400,574
401,582
402,611
403,624
404,656
405,769
406,960
407,1158
408,1312
409,1363
410,1313
411,1205
412,1091
413,955
414,829
415,752
416,682
417,601
418,577
419,577
420,579
421,617
422,647
423,675
424,687
425,719
426,693
427,679
428,641
429,603
430,582
431,562
432,556
433,572
434,579
435,566
436,576
437,579
438,577
439,614
440,628
441,636
442,651
443,688
444,797
445,963
446,1156
447,1274
448,1312
449,1280
450,1178
451,1041
452,930
453,825
454,749
455,656
456,598
457,582
458,602
459,640
460,679
461,704
462,723
463,723
464,728
465,723
466,706
467,693
468,705
469,679
470,666
471,654
472,649
473,662
474,693
475,698
476,722
477,688
478,698
479,697
480,799
481,967
482,1166
483,1327
484,1408
485,1419
486,1328
487,1248
488,1106
489,987
490,880
491,763
492,695
493,640
494,667
495,709
496,757
497,794
498,814
499,830
500,832
501,835
502,789
503,731
504,672
505,638
506,622
507,648
508,688
509,671
510,613
511,560
512,553
513,564
514,607
515,647
516,768
517,958
518,1199
519,1421
520,1535
521,1535
522,1503
523,1409
524,1324
525,1185
526,1068
527,996
528,1041
529,1266
530,1625
531,1949
532,2112
533,4095
534,4095
535,4095
536,4095
537,4095
538,4095
539,4095
540,4095
541,4095
542,4095
543,4095
544,4095
545,3207
546,2203
547,1214
548,299
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
