Index,Amplitude (0-4096)
0,1462
1,1663
2,1675
3,849
4,1010
5,1233
6,1296
7,1410
8,1421
9,1329
10,1181
11,1002
12,831
13,478
14,370
15,384
16,496
17,707
18,1004
19,1287
20,1558
21,1696
22,1813
23,1865
24,2133
25,2159
26,2079
27,2010
28,1914
29,1831
30,1776
31,1824
32,1847
33,1838
34,1851
35,1802
36,1774
37,1715
38,1645
39,1597
40,1555
41,1507
42,1471
43,1447
44,1437
45,1409
46,1419
47,1411
48,1459
49,1597
50,1778
51,2019
52,2224
53,2357
54,2383
55,2333
56,2244
57,2087
58,1943
59,1790
60,1633
61,1491
62,1397
63,1331
64,1293
65,1290
66,1287
67,1254
68,1225
69,1190
70,1138
71,1072
72,1054
73,1021
74,1022
75,1003
76,1005
77,1039
78,1078
79,1152
80,1232
81,1444
82,2283
83,240
84,150
85,286
86,437
87,471
88,449
89,529
90,689
91,945
92,1202
93,1514
94,1865
95,2151
96,2307
97,2278
98,2086
99,1915
100,1779
101,1709
102,1673
103,1655
104,1707
105,1712
106,1738
107,1742
108,1739
109,1742
110,1769
111,1808
112,1825
113,1842
114,1831
115,1803
116,1801
117,1776
118,1769
119,1807
120,1872
121,1968
122,2046
123,2110
124,2128
125,2107
126,2038
127,1949
128,1835
129,1741
130,1646
131,1556
132,1478
133,1429
134,1406
135,1390
136,1359
137,1344
138,1333
139,1317
140,1329
141,1328
142,1312
143,1309
144,1303
145,1280
146,1282
147,1264
148,1275
149,1267
150,1264
151,1290
152,1271
153,1303
154,1301
155,1346
156,1436
157,1531
158,1651
159,1745
160,1811
161,1846
162,1837
163,1790
164,1762
165,1714
166,1671
167,1616
168,1584
169,1559
170,1553
171,1523
172,1535
173,1535
174,1535
175,1535
176,1533
177,1500
178,1480
179,1463
180,1434
181,1399
182,1375
183,1358
184,1351
185,1360
186,1331
187,1335
188,1350
189,1351
190,1388
191,1438
192,1535
193,1648
194,1770
195,1885
196,1926
197,1945
198,1923
199,1877
200,1840
201,1805
202,1706
203,1680
204,1629
205,1581
206,1559
207,1554
208,1535
209,1535
210,1519
211,1498
212,1487
213,1484
214,1479
215,1458
216,1455
217,1430
218,1414
219,1403
220,1413
221,1403
222,1406
223,1398
224,1397
225,1395
226,1439
227,1494
228,1591
229,1709
230,1805
231,1889
232,1941
233,1959
234,1914
235,1844
236,1793
237,1727
238,1647
239,1598
240,1535
241,1517
242,1507
243,1475
244,1463
245,1464
246,1441
247,1423
248,1397
249,1376
250,1350
251,1317
252,1319
253,1312
254,1282
255,1295
256,1313
257,1307
258,1312
259,1314
260,1322
261,1327
262,1342
263,1377
264,1486
265,1585
266,1718
267,1840
268,1904
269,1936
270,1927
271,1877
272,1851
273,1775
274,1710
275,1637
276,1570
277,1534
278,1493
279,1487
280,1463
281,1456
282,1455
283,1443
284,1426
285,1403
286,1383
287,1355
288,1357
289,1321
290,1311
291,1319
292,1303
293,1315
294,1309
295,1319
296,1338
297,1358
298,1375
299,1374
300,1375
301,1392
302,1410
303,1495
304,1591
305,1714
306,1831
307,1955
308,1994
309,2038
310,2000
311,1950
312,1890
313,1834
314,1765
315,1696
316,1634
317,1591
318,1535
319,1527
320,1522
321,1499
322,1498
323,1461
324,1434
325,1399
326,1367
327,1342
328,1326
329,1310
330,1319
331,1293
332,1308
333,1310
334,1328
335,1330
336,1343
337,1359
338,1354
