Index,Amplitude (0-4096)
0,316
1,327
2,333
3,323
4,315
5,313
6,316
7,315
8,315
9,309
10,311
11,310
12,310
13,321
14,323
15,322
16,320
17,320
18,318
19,319
20,315
21,314
22,311
23,309
24,305
25,304
26,302
27,304
28,299
29,295
30,288
31,291
32,289
33,290
34,291
35,286
36,287
37,282
38,283
39,281
40,282
41,278
42,277
43,273
44,274
45,275
46,274
47,273
48,277
49,273
50,269
51,270
52,268
53,267
54,267
55,266
56,269
57,268
58,268
59,269
60,267
61,269
62,266
63,267
64,267
65,264
66,263
67,261
68,265
69,264
70,261
71,267
72,265
73,266
74,261
75,262
76,260
77,260
78,262
79,259
80,256
81,263
82,262
83,263
84,259
85,261
86,261
87,258
88,257
89,260
90,262
91,260
92,261
93,261
94,262
95,257
96,257
97,258
98,258
99,256
100,258
101,254
102,257
103,256
104,252
105,256
106,255
107,252
108,253
109,250
110,252
111,254
112,254
113,255
114,251
115,251
116,247
117,251
118,250
119,249
120,251
121,249
122,247
123,245
124,245
125,249
126,250
127,247
128,245
129,249
130,245
131,247
132,246
133,246
134,247
135,243
136,247
137,245
138,247
139,244
140,245
141,243
142,249
143,243
144,241
145,245
146,243
147,243
148,243
149,242
150,240
151,239
152,241
153,240
154,241
155,240
156,240
157,241
158,241
159,240
160,241
161,240
162,240
163,240
164,241
165,240
166,240
167,240
168,240
169,240
170,240
171,240
172,240
173,240
174,240
175,240
176,240
177,238
178,239
179,237
180,237
181,236
182,239
183,238
184,237
185,239
186,238
187,235
188,234
189,238
190,235
191,239
192,237
193,234
194,234
195,237
196,238
197,238
198,236
199,237
200,235
201,236
202,237
203,236
204,235
205,235
206,234
207,234
208,231
209,235
210,228
211,234
212,234
213,233
214,228
215,229
216,230
217,227
218,231
219,234
220,239
221,295
222,396
223,374
224,347
225,344
226,340
227,333
228,316
229,304
230,294
231,282
232,287
233,288
234,286
235,279
236,272
237,273
238,272
239,276
240,272
241,271
242,271
243,271
244,272
245,273
246,272
247,272
248,269
249,269
250,269
251,271
252,269
253,266
254,266
255,259
256,259
257,260
258,260
259,256
260,258
261,250
262,251
263,250
264,249
265,249
266,247
267,247
268,251
269,247
270,247
271,245
272,245
273,242
274,245
275,246
276,240
277,244
278,246
279,244
280,245
281,246
282,247
283,250
284,247
285,243
286,245
287,245
288,244
289,242
290,241
291,240
292,240
293,241
294,240
295,242
296,240
297,241
298,242
299,240
300,240
301,242
302,251
303,256
304,257
305,265
306,273
307,272
308,269
309,288
310,274
311,272
312,276
313,272
314,267
315,266
316,260
317,263
318,260
319,261
320,262
321,262
322,262
323,263
324,266
325,266
326,268
327,266
328,262
329,263
330,258
331,255
332,254
333,293
334,272
335,272
336,289
337,242
338,249
339,246
340,250
341,251
342,249
343,247
344,243
345,242
346,242
347,245
348,245
349,247
350,244
351,242
352,240
353,242
354,243
355,241
356,241
357,240
358,240
359,241
360,242
361,241
362,247
363,243
364,243
365,244
366,243
367,241
368,241
369,241
370,244
371,240
372,241
373,233
374,229
375,226
376,222
377,239
378,245
379,245
380,241
381,242
382,240
383,225
384,225
385,218
386,212
387,205
388,194
389,185
390,203
391,187
392,175
393,210
394,221
395,211
396,208
397,204
398,201
399,203
400,202
401,197
402,196
403,194
404,194
405,195
406,195
407,193
408,193
409,192
410,191
411,192
412,192
413,190
414,189
415,189
416,185
417,186
418,186
419,186
420,179
421,178
422,178
423,177
424,177
425,177
426,176
427,172
428,174
429,175
430,176
431,173
432,170
433,171
434,168
435,170
436,166
437,164
438,166
439,163
440,164
441,161
442,161
443,161
444,163
445,160
446,157
447,157
448,156
449,161
450,155
