Index,Amplitude (0-4096)
0,49
1,51
2,52
3,51
4,48
5,48
6,49
7,48
8,53
9,53
10,52
11,56
12,50
13,49
14,49
15,51
16,49
17,53
18,50
19,48
20,48
21,48
22,45
23,47
24,48
25,48
26,48
27,48
28,47
29,48
30,48
31,48
32,48
33,48
34,47
35,48
36,47
37,47
38,46
39,48
40,48
41,49
42,48
43,48
44,50
45,53
46,55
47,55
48,59
49,61
50,63
51,64
52,64
53,67
54,64
55,66
56,64
57,65
58,67
59,66
60,65
61,66
62,64
63,65
64,65
65,67
66,67
67,65
68,64
69,66
70,66
71,69
72,68
73,67
74,70
75,68
76,69
77,65
78,68
79,69
80,65
81,64
82,67
83,66
84,67
85,66
86,69
87,65
88,65
89,67
90,69
91,66
92,67
93,69
94,66
95,64
96,65
97,65
98,66
99,66
100,67
101,64
102,64
103,65
104,64
105,64
106,64
107,64
108,63
109,64
110,64
111,65
112,64
113,64
114,64
115,65
116,64
117,63
118,64
119,66
120,64
121,64
122,62
123,64
124,64
125,64
126,65
127,64
128,64
129,64
130,67
131,63
132,63
133,64
134,64
135,61
136,62
137,64
138,64
139,65
140,63
141,63
142,66
143,64
144,64
145,62
146,64
147,64
148,64
149,64
150,64
151,63
152,64
153,62
154,64
155,59
156,60
157,62
158,63
159,59
160,58
161,59
162,61
163,58
164,62
165,60
166,59
167,57
168,60
169,59
170,60
171,57
172,59
173,59
174,61
175,61
176,59
177,54
178,60
179,55
180,58
181,59
182,62
183,59
184,59
185,54
186,60
187,62
188,59
189,59
190,61
191,62
192,61
193,62
194,62
195,62
196,63
197,64
198,62
199,64
200,62
201,64
202,64
203,64
204,62
205,62
206,64
207,64
208,64
209,64
210,63
211,64
212,66
213,64
214,64
215,64
216,68
217,68
218,67
219,67
220,65
221,66
222,70
223,64
224,69
225,67
226,66
227,66
228,67
229,70
230,67
231,66
232,69
233,70
234,71
235,71
236,71
237,71
238,69
239,70
240,71
241,69
242,69
243,73
244,70
245,71
246,72
247,75
248,71
249,74
250,71
251,74
252,71
253,74
254,70
255,73
256,74
257,73
258,75
259,76
260,77
261,75
262,78
263,77
264,79
265,80
266,78
267,80
268,80
269,80
270,81
271,80
272,80
273,80
274,81
275,80
276,82
277,81
278,82
279,81
280,81
281,85
282,85
283,82
284,80
285,80
286,83
287,82
288,81
289,83
290,81
291,82
292,83
293,82
294,86
295,84
296,86
297,86
298,85
299,89
300,87
301,91
302,91
303,93
304,91
305,91
306,91
307,87
308,90
309,89
310,84
311,89
312,86
313,86
314,90
315,90
316,90
317,92
318,91
319,91
320,91
321,90
322,93
323,93
324,96
325,93
326,94
327,94
328,94
329,95
330,97
331,94
332,95
333,97
334,98
335,94
336,95
337,96
338,93
339,97
340,97
341,96
342,96
343,98
344,95
345,97
346,97
347,100
348,101
349,99
350,98
351,98
352,102
353,99
354,102
355,103
356,103
357,102
358,104
359,101
360,103
361,103
362,105
363,106
364,106
365,102
366,103
367,105
368,104
369,105
370,107
371,106
372,106
373,103
374,108
375,107
376,109
377,110
378,112
379,112
380,112
381,110
382,112
383,112
384,112
385,112
386,112
387,112
388,113
389,116
390,112
391,113
392,115
393,114
394,113
395,116
396,114
397,115
398,112
399,113
400,115
401,118
402,118
403,114
404,119
405,122
406,122
407,121
408,121
409,123
410,119
411,122
412,122
413,122
414,121
415,122
416,121
417,124
418,124
419,126
420,125
421,126
422,126
423,127
424,130
425,124
426,127
427,128
428,129
429,129
430,128
431,130
432,129
433,131
434,129
435,130
436,129
437,129
438,129
439,131
440,134
441,133
442,136
443,133
444,133
445,135
446,144
447,164
448,172
449,169
450,172
451,173
452,176
453,173
454,172
455,176
456,175
457,176
458,176
459,176
460,176
461,177
462,177
463,179
464,183
465,182
466,182
467,186
468,186
469,188
470,185
471,188
472,190
473,189
474,186
475,189
476,192
477,192
478,192
479,192
480,193
481,192
482,191
483,195
484,195
485,195
486,194
487,193
488,197
489,198
490,200
491,200
492,198
493,201
494,201
495,204
496,205
497,203
498,201
499,207
500,207
501,208
502,208
503,208
504,210
505,213
506,211
507,212
508,212
509,217
510,217
511,218
512,219
513,217
514,219
515,218
516,218
517,221
518,223
519,227
520,228
521,227
522,227
523,231
524,230
525,229
526,229
527,234
528,237
529,234
530,229
531,229
532,234
533,237
534,237
535,230
536,208
537,181
538,177
539,178
540,176
541,174
542,175
543,174
544,176
545,176
546,177
547,183
548,177
549,180
550,182
551,185
552,186
553,189
554,187
555,189
556,187
557,187
558,183
559,185
560,187
561,185
562,185
563,183
564,183
565,187
566,186
567,185
568,189
569,188
570,189
571,189
572,191
573,186
574,189
575,187
576,189
577,188
578,188
579,189
580,189
581,188
582,189
583,189
584,189
585,191
586,190
587,192
588,192
589,191
590,190
591,192
592,187
593,192
594,192
595,192
596,192
597,193
598,193
599,192
600,193
601,192
602,194
603,192
604,194
605,192
606,194
607,193
608,194
609,193
610,192
611,195
612,199
613,206
614,206
615,203
616,205
617,209
618,227
619,245
620,235
621,219
622,213
623,215
624,214
625,209
626,214
627,228
628,256
629,303
630,306
631,304
632,301
633,299
634,299
635,290
636,243
637,221
638,214
639,210
640,208
641,207
642,207
643,203
644,207
645,196
646,199
647,203
648,199
649,207
650,206
651,202
652,208
653,218
654,209
655,208
656,206
657,206
658,209
659,204
660,208
661,213
662,224
663,240
664,240
665,240
666,259
667,250
668,226
669,222
670,220
671,211
672,209
673,203
674,197
675,197
676,196
677,196
678,197
679,194
680,197
681,195
682,194
683,192
684,192
685,187
686,187
687,190
688,186
689,193
690,191
691,192
692,193
693,192
694,193
695,190
696,192
697,190
698,192
699,194
700,195
701,194
702,195
703,195
704,194
705,195
706,197
707,199
708,197
709,201
710,202
711,203
712,204
713,203
714,202
715,203
716,199
717,199
718,204
719,203
720,198
721,202
722,201
723,201
724,201
725,201
726,203
727,205
728,200
729,204
730,204
731,203
732,203
733,201
734,205
735,201
736,201
737,203
738,206
739,202
740,198
741,201
742,201
743,203
744,202
745,203
746,206
747,205
748,203
749,205
750,205
751,203
752,202
753,204
754,205
755,208
756,207
757,207
758,205
759,206
760,203
761,206
762,206
763,205
764,206
765,207
766,206
767,208
768,202
769,205
770,203
771,208
772,206
773,208
774,215
775,209
776,211
777,213
778,210
779,212
780,209
781,205
782,202
783,204
784,206
785,206
786,205
787,206
788,207
789,205
790,205
791,206
792,206
793,205
794,206
795,207
796,208
797,207
798,206
799,208
800,206
801,205
802,207
803,205
804,205
805,206
806,203
807,203
808,203
809,202
810,204
811,202
812,202
813,203
814,205
815,206
816,204
817,204
818,204
819,207
820,202
821,204
822,204
823,202
824,197
825,199
826,204
827,201
828,205
829,201
830,203
831,199
832,203
833,205
834,203
835,201
836,206
837,203
838,202
839,205
840,205
841,203
842,203
843,203
844,203
845,198
