Index,Amplitude (0-4096)
0,102
1,107
2,103
3,102
4,102
5,101
6,99
7,103
8,98
9,98
10,99
11,96
12,98
13,95
14,96
15,95
16,96
17,97
18,96
19,96
20,93
21,91
22,93
23,94
24,89
25,93
26,92
27,93
28,93
29,90
30,87
31,93
32,90
33,86
34,87
35,87
36,86
37,85
38,89
39,90
40,86
41,86
42,83
43,85
44,85
45,84
46,85
47,81
48,81
49,81
50,82
51,81
52,80
53,83
54,85
55,82
56,82
57,80
58,81
59,79
60,80
61,80
62,81
63,81
64,81
65,81
66,80
67,80
68,80
69,80
70,79
71,78
72,76
73,79
74,77
75,78
76,78
77,78
78,78
79,79
80,78
81,77
82,73
83,79
84,80
85,78
86,77
87,75
88,77
89,74
90,75
91,75
92,71
93,69
94,71
95,75
96,70
97,70
98,70
99,73
100,68
101,71
102,72
103,74
104,71
105,72
106,71
107,69
108,71
109,70
110,69
111,69
112,70
113,70
114,67
115,71
116,68
117,66
118,65
119,65
120,68
121,69
122,64
123,66
124,67
125,69
126,66
127,65
128,64
129,67
130,66
131,67
132,65
133,65
134,68
135,65
136,66
137,67
138,64
139,65
140,66
141,66
142,66
143,64
144,65
145,64
146,64
147,64
148,61
149,66
150,64
151,62
152,64
153,63
154,64
155,64
156,64
157,61
158,62
159,64
160,63
161,64
162,61
163,64
164,63
165,64
166,64
167,62
168,63
169,64
170,62
171,64
172,64
173,64
174,64
175,61
176,63
177,61
178,62
179,64
180,64
181,61
182,64
183,61
184,61
185,64
186,62
187,61
188,61
189,59
190,59
191,62
192,63
193,57
194,59
195,59
196,59
197,60
198,62
199,57
200,57
201,55
202,57
203,59
204,54
205,57
206,61
207,57
208,55
209,57
210,55
211,54
212,59
213,55
214,55
215,53
216,54
217,54
218,61
219,56
220,54
221,58
222,54
223,51
224,49
225,52
226,51
227,51
228,59
229,53
230,51
231,50
232,51
233,50
234,50
235,54
236,51
237,58
238,52
239,53
240,50
241,49
242,49
243,48
244,49
245,49
246,50
247,48
248,49
249,48
250,51
251,48
252,50
253,48
254,48
255,48
256,48
257,48
258,50
259,50
260,50
261,48
262,49
263,49
264,48
265,48
266,48
267,48
268,49
269,48
270,48
271,50
272,48
273,47
274,49
275,46
276,48
277,48
278,49
279,45
280,25
281,20
282,20
283,19
284,21
285,26
286,22
287,20
288,18
289,22
290,20
291,25
292,19
293,20
294,19
295,19
296,22
297,21
298,19
299,19
300,22
301,19
302,22
303,20
304,18
305,21
306,21
307,18
308,20
309,18
310,17
311,19
312,19
313,19
314,17
315,19
316,19
317,21
318,27
319,17
320,18
321,14
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
