Index,Amplitude (0-4096)
0,1573
1,1472
2,1406
3,1367
4,1338
5,1833
6,2439
7,2307
8,1987
9,1499
10,1565
11,1600
12,1567
13,1619
14,1840
15,2086
16,2186
17,2202
18,2220
19,2429
20,2704
21,2978
22,3167
23,3223
24,3143
25,2992
26,2818
27,2690
28,2559
29,2474
30,2438
31,2374
32,2352
33,2322
34,2338
35,2353
36,2383
37,2395
38,2393
39,2379
40,2373
41,2373
42,2378
43,2384
44,2398
45,2446
46,2506
47,2658
48,2839
49,3047
50,3156
51,3193
52,3168
53,3122
54,3023
55,2898
56,2785
57,2704
58,2631
59,2586
60,2559
61,2591
62,2598
63,2603
64,2624
65,2636
66,2639
67,2640
68,2645
69,2642
70,2659
71,2659
72,2669
73,2672
74,2689
75,2722
76,2775
77,2925
78,3132
79,3280
80,3360
81,3375
82,3342
83,3278
84,3199
85,3125
86,3024
87,2942
88,2891
89,2843
90,2830
91,2807
92,2797
93,2788
94,2751
95,2774
96,2787
97,2832
98,2800
99,2774
100,2763
101,2756
102,2787
103,2790
104,2814
105,2853
106,2923
107,3056
108,3207
109,3382
110,3451
111,3463
112,3395
113,3361
114,3280
115,3184
116,3104
117,3035
118,2973
119,2929
120,2902
121,2913
122,2896
123,2903
124,2901
125,2869
126,2877
127,2854
128,2853
129,2853
130,2833
131,2827
132,2797
133,2819
134,2797
135,2832
136,2873
137,2966
138,3090
139,3250
140,3408
141,3468
142,3536
143,3446
144,3367
145,3280
146,3165
147,3091
148,3038
149,2965
150,2925
151,2911
152,2896
153,2864
154,2860
155,2863
156,2842
157,2848
158,2866
159,2851
160,2826
161,2813
162,2789
163,2777
164,2790
165,2791
166,2849
167,2919
168,3071
169,3247
170,3371
171,3431
172,3417
173,3366
174,3300
175,3188
176,3095
177,3007
178,2913
179,2870
180,2825
181,2812
182,2815
183,2791
184,2794
185,2793
186,2770
187,2754
188,2747
189,2727
190,2714
191,2693
192,2697
193,2719
194,2708
195,2730
196,2801
197,2933
198,3119
199,3329
200,3508
201,3570
202,3506
203,3425
204,3315
205,3179
206,3037
207,2927
208,2653
209,2646
210,4095
211,4095
212,4095
213,4095
214,4095
215,4095
216,4095
217,4095
218,4095
219,4095
220,4095
221,4095
222,4095
223,4095
224,4095
225,3337
226,2215
227,1424
228,859
229,441
230,144
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
