Index,Amplitude (0-4096)
0,1725
1,1562
2,1405
3,1249
4,1130
5,1012
6,939
7,905
8,900
9,886
10,911
11,898
12,886
13,853
14,810
15,783
16,773
17,784
18,775
19,800
20,799
21,791
22,821
23,841
24,861
25,915
26,1073
27,1317
28,1663
29,1936
30,2110
31,2144
32,2057
33,1904
34,1717
35,1535
36,1385
37,1221
38,1076
39,936
40,851
41,800
42,797
43,810
44,816
45,814
46,806
47,787
48,762
49,727
50,705
51,707
52,693
53,698
54,723
55,732
56,752
57,771
58,789
59,823
60,869
61,1011
62,1249
63,1554
64,1851
65,2036
66,2083
67,2000
68,1845
69,1671
70,1494
71,1319
72,1161
73,1023
74,880
75,807
76,755
77,752
78,751
79,767
80,780
81,766
82,730
83,702
84,672
85,673
86,646
87,651
88,662
89,673
90,721
91,746
92,782
93,790
94,789
95,802
96,816
97,839
98,953
99,1205
100,1499
101,1793
102,1962
103,2007
104,1942
105,1783
106,1584
107,1391
108,1207
109,1017
110,890
111,770
112,713
113,685
114,706
115,718
116,753
117,737
118,704
119,663
120,624
121,593
122,592
123,582
124,561
125,592
126,621
127,634
128,650
129,688
130,692
131,717
132,761
133,864
134,1083
135,1410
136,1716
137,1958
138,2032
139,2006
140,1861
141,1631
142,1438
143,1249
144,1091
145,944
146,753
147,654
148,603
149,605
150,608
151,645
152,634
153,611
154,595
155,545
156,511
157,486
158,481
159,455
160,457
161,479
162,526
163,542
164,571
165,599
166,630
167,641
168,663
169,776
170,1003
171,1301
172,1648
173,1891
174,1990
175,1988
176,1846
177,1622
178,1406
179,1211
180,1023
181,852
182,736
183,623
184,563
185,539
186,528
187,542
188,556
189,528
190,496
191,469
192,432
193,418
194,422
195,391
196,401
197,421
198,441
199,460
200,490
201,526
202,543
203,579
204,607
205,624
206,656
207,668
208,677
209,726
210,878
211,1178
212,1514
213,1844
214,2030
215,2047
216,1944
217,1703
218,1469
219,1239
220,1054
221,880
222,714
223,605
224,541
225,483
226,477
227,501
228,528
229,527
230,506
231,481
232,429
233,400
234,383
235,371
236,389
237,416
238,443
239,467
240,480
241,523
242,529
243,572
244,559
245,570
246,552
247,577
248,560
249,585
250,592
251,595
252,651
253,805
254,1117
255,1457
256,1826
257,2021
258,2065
259,1959
260,1733
261,1473
262,1247
263,1033
264,847
265,660
266,528
267,457
268,441
269,432
270,469
271,455
272,464
273,442
274,401
275,369
276,333
277,315
278,285
279,283
280,288
281,327
282,368
283,411
284,428
285,449
286,476
287,496
288,526
289,615
290,822
291,1170
292,1473
293,1822
294,1933
295,1950
296,1766
297,1535
298,1296
299,1098
300,911
301,752
302,588
303,466
304,386
305,338
306,365
307,391
308,417
309,418
310,384
311,352
312,302
313,249
314,242
315,227
316,225
317,228
318,241
319,287
320,304
321,336
322,375
323,415
324,438
325,464
326,508
327,534
328,541
329,553
330,558
331,562
332,577
333,618
334,778
335,1095
336,1507
337,1923
338,2140
339,2208
340,2086
341,1838
342,1535
343,1299
344,1058
345,878
346,701
347,554
348,425
349,353
350,322
351,334
352,338
353,355
354,354
355,304
356,275
357,215
358,196
359,176
360,174
361,169
362,190
363,207
364,240
365,279
366,317
367,362
368,373
369,411
370,431
371,501
372,682
373,992
374,1331
375,1650
376,1801
377,1818
378,1669
379,1423
380,1200
381,969
382,773
383,597
384,454
385,365
386,318
387,320
388,378
389,397
390,449
391,429
392,398
393,367
394,327
395,279
396,247
397,237
398,242
399,251
400,304
401,330
402,350
403,381
404,397
405,415
406,430
407,453
408,509
409,690
410,1014
411,1403
412,1773
413,1958
414,1982
415,1825
416,1598
417,1328
418,1089
419,885
420,720
421,577
422,432
423,344
424,315
425,295
426,357
427,368
428,384
429,374
430,332
431,299
432,258
433,239
434,217
435,235
436,238
437,266
438,289
439,331
440,385
441,416
442,438
443,443
444,493
445,497
446,526
447,618
448,849
449,1195
450,1609
451,1926
452,2071
453,2032
454,1847
455,1589
456,1340
457,1122
458,934
459,763
460,595
461,461
462,379
463,331
464,343
465,351
466,362
467,373
468,351
469,324
470,316
471,260
472,245
473,241
474,228
475,234
476,243
477,282
478,307
479,364
480,384
481,430
482,474
483,503
484,529
485,560
486,576
487,590
488,587
489,613
490,685
491,887
492,1249
493,1711
494,2065
495,2185
496,2141
497,1931
498,1647
499,1380
500,1150
501,958
502,757
503,609
504,480
505,412
506,384
507,389
508,420
509,433
510,432
511,435
512,399
513,371
514,335
515,320
516,304
517,299
518,304
519,356
520,378
521,425
522,442
523,465
524,490
525,526
526,528
527,557
528,629
529,858
530,1197
531,1584
532,1884
533,1987
534,1921
535,1740
536,1490
537,1252
538,1083
539,906
540,723
541,565
542,448
543,386
544,396
545,405
546,435
547,461
548,464
549,457
550,430
551,386
552,361
553,337
554,334
555,336
556,374
557,400
558,433
559,485
560,503
561,563
562,574
563,593
564,621
565,637
566,625
567,641
568,661
569,676
570,742
571,953
572,1297
573,1763
574,2128
575,2318
576,2263
577,2110
578,1842
579,1557
580,1317
581,1136
582,957
583,802
584,640
585,534
586,478
587,455
588,475
589,491
590,503
591,503
592,477
593,466
594,444
595,407
596,403
597,407
598,429
599,446
600,471
601,506
602,543
603,592
604,637
605,667
606,691
607,719
608,721
609,727
610,766
611,867
612,1113
613,1534
614,1938
615,2219
616,2279
617,2176
618,1969
619,1711
620,1467
621,1253
622,1097
623,929
624,778
625,670
626,591
627,546
628,571
629,570
630,592
631,608
632,611
633,576
634,557
635,511
636,502
637,496
638,496
639,510
640,550
641,588
642,617
643,649
644,682
645,720
646,770
647,763
648,784
649,785
650,805
651,914
652,1173
653,1591
654,1986
655,2258
656,2331
657,2219
658,2019
659,1771
660,1519
661,1307
662,1120
663,942
664,804
665,705
666,665
667,674
668,688
669,720
670,742
671,727
672,694
673,668
674,625
675,601
676,587
677,581
678,592
679,601
680,631
681,681
682,697
683,713
684,750
685,769
686,811
687,862
688,1041
689,1367
690,1753
691,2081
692,2256
693,2261
694,2096
695,1890
696,1670
697,1431
698,1257
699,1094
700,949
701,811
702,720
703,673
704,688
705,720
706,771
707,783
708,784
709,763
710,723
711,674
712,667
713,656
714,654
715,668
716,680
717,710
718,737
719,770
720,826
721,849
722,887
723,913
724,912
725,937
726,938
727,971
728,1085
729,1335
730,1735
731,2126
732,2416
733,2512
734,2430
735,2243
736,2017
737,1773
738,1597
739,1419
740,1263
741,1129
742,963
743,853
744,799
745,783
746,805
747,845
748,833
749,821
750,805
751,771
752,750
753,753
754,744
755,722
756,726
757,766
758,785
