Index,Amplitude (0-4096)
0,749
1,767
2,798
3,795
4,834
5,921
6,1072
7,1248
8,1420
9,1563
10,1637
11,1631
12,1577
13,1466
14,1325
15,1205
16,1043
17,958
18,880
19,806
20,783
21,773
22,788
23,773
24,769
25,736
26,712
27,653
28,662
29,624
30,619
31,587
32,582
33,561
34,595
35,624
36,639
37,635
38,646
39,668
40,688
41,737
42,816
43,966
44,1178
45,1381
46,1570
47,1616
48,1584
49,1478
50,1381
51,1251
52,1151
53,1009
54,876
55,784
56,742
57,742
58,755
59,769
60,757
61,734
62,727
63,694
64,688
65,650
66,607
67,593
68,583
69,602
70,613
71,609
72,634
73,649
74,686
75,715
76,753
77,749
78,772
79,814
80,939
81,1168
82,1399
83,1555
84,1626
85,1629
86,1535
87,1441
88,1310
89,1166
90,1034
91,889
92,813
93,750
94,720
95,713
96,717
97,709
98,683
99,670
100,665
101,635
102,594
103,573
104,537
105,529
106,497
107,499
108,503
109,502
110,507
111,533
112,545
113,583
114,612
115,642
116,720
117,838
118,1040
119,1275
120,1471
121,1583
122,1600
123,1535
124,1445
125,1292
126,1168
127,1033
128,913
129,827
130,767
131,754
132,730
133,773
134,753
135,759
136,656
137,665
138,642
139,598
140,592
141,565
142,530
143,541
144,545
145,560
146,588
147,597
148,583
149,599
150,636
151,640
152,686
153,743
154,863
155,1063
156,1245
157,1440
158,1579
159,1595
160,1528
161,1409
162,1279
163,1146
164,1040
165,905
166,839
167,757
168,738
169,743
170,751
171,758
172,779
173,762
174,720
175,688
176,655
177,615
178,591
179,575
180,541
181,546
182,569
183,603
184,661
185,688
186,722
187,726
188,748
189,795
190,891
191,1093
192,1323
193,1517
194,1642
195,1651
196,1584
197,1461
198,1318
199,1173
200,1045
201,934
202,843
203,770
204,748
205,752
206,775
207,799
208,816
209,827
210,804
211,787
212,727
213,720
214,687
215,679
216,685
217,688
218,705
219,713
220,723
221,749
222,779
223,806
224,845
225,938
226,1113
227,1300
228,1510
229,1664
230,1747
231,1743
232,1695
233,1581
234,1433
235,1308
236,1169
237,1065
238,1003
239,953
240,943
241,955
242,976
243,954
244,955
245,923
246,915
247,879
248,854
249,870
250,846
251,846
252,858
253,855
254,853
255,855
256,861
257,891
258,881
259,923
260,1037
261,1179
262,1392
263,1587
264,1762
265,1847
266,1839
267,1771
268,1664
269,1535
270,1431
271,1328
272,1223
273,1153
274,1122
275,1131
276,1129
277,1134
278,1143
279,1119
280,1099
281,1072
282,1049
283,1008
284,1008
285,976
286,975
287,959
288,975
289,986
290,1009
291,1051
292,1074
293,1107
294,1152
295,1287
296,1463
