Index,Amplitude (0-4096)
0,48
1,58
2,64
3,64
4,64
5,65
6,68
7,64
8,65
9,63
10,65
11,66
12,66
13,68
14,66
15,67
16,69
17,74
18,70
19,74
20,74
21,73
22,75
23,73
24,73
25,73
26,76
27,76
28,74
29,73
30,79
31,78
32,77
33,77
34,77
35,80
36,80
37,80
38,77
39,79
40,77
41,80
42,81
43,80
44,82
45,80
46,82
47,80
48,80
49,80
50,80
51,80
52,91
53,91
54,92
55,85
56,84
57,83
58,84
59,84
60,84
61,82
62,81
63,81
64,82
65,80
66,80
67,82
68,81
69,83
70,83
71,86
72,82
73,84
74,86
75,85
76,84
77,82
78,84
79,85
80,80
81,83
82,83
83,80
84,80
85,81
86,80
87,80
88,81
89,84
90,83
91,81
92,80
93,80
94,80
95,80
96,80
97,82
98,80
99,79
100,83
101,80
102,79
103,80
104,80
105,80
106,80
107,80
108,80
109,80
110,80
111,80
112,80
113,80
114,80
115,79
116,79
117,79
118,80
119,80
120,80
121,82
122,80
123,80
124,80
125,80
126,80
127,80
128,81
129,82
130,81
131,82
132,80
133,80
134,80
135,80
136,79
137,81
138,81
139,81
140,83
141,80
142,83
143,81
144,81
145,80
146,84
147,82
148,82
149,83
150,80
151,82
152,83
153,83
154,81
155,83
156,84
157,83
158,82
159,82
160,82
161,81
162,82
163,80
164,81
165,83
166,82
167,80
168,82
169,83
170,82
171,80
172,82
173,81
174,84
175,84
176,82
177,86
178,83
179,83
180,83
181,85
182,83
183,87
184,87
185,86
186,87
187,85
188,94
189,95
190,93
191,91
192,91
193,91
194,93
195,94
196,93
197,87
198,90
199,86
200,88
201,89
202,88
203,90
204,85
205,86
206,85
207,85
208,83
209,81
210,89
211,87
212,93
213,90
214,87
215,89
216,88
217,90
218,86
219,91
220,92
221,93
222,90
223,87
224,87
225,89
226,92
227,91
228,88
229,92
230,91
231,90
232,89
233,89
234,92
235,91
236,93
237,90
238,89
239,90
240,91
241,90
242,90
243,91
244,92
245,91
246,95
247,95
248,89
249,93
250,90
251,93
252,87
253,91
254,91
255,95
256,91
257,91
258,96
259,97
260,95
261,97
262,97
263,95
264,98
265,96
266,95
267,92
268,87
269,81
270,80
271,46
272,43
273,45
274,45
275,64
276,80
277,83
278,81
279,86
280,86
281,85
282,86
283,83
284,82
285,80
286,80
287,77
288,74
289,79
290,75
291,77
292,77
293,78
294,74
295,70
296,71
297,74
298,75
299,75
300,68
301,57
302,59
303,58
304,62
305,59
306,59
307,61
308,61
309,62
310,58
311,61
312,61
313,58
314,48
315,48
316,48
317,48
318,52
319,50
320,51
321,49
322,48
323,50
324,49
325,50
326,50
327,51
328,48
329,48
330,51
331,51
332,51
333,51
334,54
335,51
336,53
337,52
338,54
339,50
340,51
341,54
342,55
343,54
344,53
345,51
346,53
347,56
348,55
349,54
350,53
351,53
352,53
353,57
354,58
355,59
356,62
357,58
358,57
359,54
360,37
361,38
362,34
363,6
364,0
365,14
366,10
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,68
385,78
386,85
387,83
388,85
389,85
390,84
391,85
392,86
393,85
394,85
395,86
396,82
397,84
398,81
399,87
400,89
401,84
402,84
403,84
404,83
405,84
406,85
407,93
408,95
409,95
410,92
411,94
412,94
413,96
414,87
415,90
416,87
417,85
418,85
419,87
420,89
421,89
422,87
423,89
424,85
425,86
426,89
427,90
428,89
429,86
430,91
431,89
432,91
433,92
434,89
435,92
436,91
437,91
438,95
439,94
440,95
441,93
442,95
443,91
444,94
445,96
446,95
447,93
448,95
449,94
450,96
451,93
452,93
453,97
454,95
455,97
456,97
457,98
458,98
459,97
460,95
461,98
462,99
463,101
464,99
465,99
466,98
467,101
468,102
469,99
470,102
471,103
472,103
473,103
474,99
475,100
476,106
477,102
478,101
479,101
480,105
481,102
482,102
483,104
484,103
485,109
486,102
487,103
488,107
489,102
490,102
491,106
492,102
493,102
494,106
495,103
496,108
497,106
498,107
499,109
500,109
501,112
502,110
503,109
504,109
505,112
506,108
507,110
508,110
509,112
510,110
511,110
512,110
513,112
514,111
515,112
516,111
517,109
518,109
519,110
520,112
521,112
522,112
523,112
524,112
525,112
526,112
527,113
528,114
529,112
530,113
531,112
532,114
533,112
534,112
535,112
536,112
537,114
538,115
539,116
540,113
541,112
542,113
543,114
544,115
545,112
546,112
547,112
548,115
549,118
550,115
551,112
552,115
553,117
554,115
555,117
556,119
557,117
558,122
559,121
560,118
561,116
562,117
563,117
564,117
565,121
566,119
567,117
568,117
569,119
570,117
571,117
572,119
573,119
574,115
575,118
576,122
577,122
578,118
579,121
580,122
581,122
582,122
583,122
584,121
585,122
586,125
587,123
588,123
589,122
590,118
591,123
592,121
593,123
594,123
595,122
596,123
597,123
598,122
599,126
600,121
601,122
602,120
603,125
604,125
