Index,Amplitude (0-4096)
0,1098
1,1090
2,1108
3,1120
4,1154
5,1148
6,1141
7,1148
8,1138
9,1158
10,1137
11,1146
12,1157
13,1180
14,1171
15,1181
16,1195
17,1226
18,1338
19,1497
20,1687
21,1853
22,1974
23,2015
24,1983
25,1884
26,1783
27,1669
28,1567
29,1467
30,1377
31,1306
32,1251
33,1211
34,1189
35,1202
36,1225
37,1264
38,1268
39,1275
40,1265
41,1289
42,1267
43,1266
44,1258
45,1205
46,1178
47,1171
48,1143
49,1155
50,1165
51,1184
52,1264
53,1379
54,1534
55,1694
56,1802
57,1858
58,1850
59,1838
60,1774
61,1709
62,1653
63,1575
64,1513
65,1453
66,1409
67,1379
68,1378
69,1360
70,1397
71,1408
72,1413
73,1434
74,1454
75,1459
76,1449
77,1458
78,1440
79,1424
80,1441
81,1467
82,1455
83,1469
84,1507
85,1590
86,1665
87,1779
88,1871
89,1939
90,1975
91,1957
92,1915
93,1842
94,1779
95,1712
96,1648
97,1600
98,1577
99,1535
100,1535
101,1535
102,1535
103,1521
104,1520
105,1520
106,1510
107,1507
108,1502
109,1501
110,1517
111,1503
112,1508
113,1517
114,1535
115,1596
116,1681
117,1779
118,1936
119,2034
120,2103
121,2112
122,2118
123,2064
124,1983
125,1905
126,1808
127,1740
128,1665
129,1617
130,1571
131,1526
132,1503
133,1486
134,1502
135,1470
136,1441
137,1437
138,1392
139,1390
140,1377
141,1366
142,1357
143,1360
144,1351
145,1370
146,1390
147,1463
148,1639
149,1823
150,2003
151,2159
152,2227
153,2237
154,2190
155,2147
156,2017
157,1898
158,1778
159,1659
160,1535
161,1502
162,1475
163,1437
164,1418
165,1407
166,1391
167,1350
168,1338
169,1318
170,1282
171,1255
172,1246
173,1233
174,1227
175,1200
176,1194
177,1222
178,1250
179,1297
180,1410
181,1601
182,1830
183,2029
184,2172
185,2222
186,2161
187,2092
188,1975
189,1851
190,1734
191,1601
192,1479
193,1389
194,1317
195,1269
196,1251
197,1249
198,1287
199,1323
200,1333
201,1353
202,1335
203,1327
204,1294
205,1253
206,1217
207,1190
208,1150
209,1118
210,1118
211,1162
212,1260
213,1457
214,1664
215,1926
216,2103
217,2161
218,2150
219,2054
220,1939
221,1789
222,1648
223,1520
224,1405
225,1322
226,1243
227,1169
228,1149
229,1137
230,1139
231,1149
232,1157
233,1179
234,1173
235,1167
236,1168
237,1179
238,1161
239,1163
240,1163
241,1159
242,1162
243,1156
244,1216
245,1327
246,1524
247,1755
248,1921
249,2047
250,2081
251,2010
252,1909
253,1791
254,1667
255,1535
256,1456
257,1347
258,1232
259,1206
260,1199
261,1184
262,1205
263,1232
264,1259
265,1239
266,1259
267,1245
268,1218
269,1206
270,1215
271,1189
272,1202
273,1173
274,1195
275,1214
276,1291
277,1456
278,1680
279,1881
280,2029
281,2112
282,2092
283,1985
284,1858
285,1747
286,1610
287,1471
288,1365
289,1277
290,1234
291,1217
292,1207
293,1215
294,1233
295,1283
296,1267
297,1282
298,1269
299,1268
300,1237
301,1237
302,1233
303,1201
304,1207
305,1229
306,1255
307,1304
308,1487
309,1715
310,1948
311,2106
312,2224
313,2226
314,2143
315,2014
316,1871
317,1695
318,1534
319,1409
320,1298
321,1199
322,1151
323,1139
324,1157
325,1165
326,1193
327,1200
328,1200
329,1168
330,1168
331,1147
332,1109
333,1107
334,1098
335,1097
336,1111
337,1115
338,1138
339,1251
340,1451
341,1727
342,2013
343,2224
344,2320
345,2304
346,2183
347,2034
348,1840
349,1673
350,1486
351,1335
352,1213
353,1136
354,1094
355,1091
356,1086
357,1121
358,1150
359,1167
360,1152
361,1137
362,1094
363,1088
364,1075
365,1065
366,1040
367,1052
368,1041
369,1046
370,1072
371,1141
372,1303
373,1599
374,1927
375,2203
376,2359
377,2378
378,2288
379,2125
380,1919
381,1734
382,1529
383,1369
384,1216
385,1105
386,1055
387,1040
388,1040
389,1072
390,1104
391,1131
392,1123
393,1134
394,1094
395,1087
396,1042
397,1013
398,1003
399,993
400,960
401,976
402,975
403,976
404,1050
405,1190
406,1459
407,1774
408,2096
409,2266
410,2295
411,2213
412,2035
413,1849
414,1630
415,1447
416,1263
417,1124
418,1020
419,960
420,959
421,995
422,1067
423,1106
424,1137
425,1152
426,1151
427,1104
428,1075
429,1047
430,1037
431,1001
432,995
433,979
434,989
435,1013
436,1066
437,1221
438,1492
439,1818
440,2101
441,2235
442,2239
443,2126
444,1934
445,1737
446,1533
447,1337
448,1182
449,1038
450,958
451,916
452,944
453,1008
454,1107
455,1166
456,1173
457,1189
458,1164
459,1121
460,1082
461,1072
462,1077
463,1067
464,1063
465,1073
466,1065
467,1087
468,1175
469,1377
470,1686
471,2023
472,2242
473,2333
474,2273
475,2125
476,1919
477,1694
478,1488
479,1291
480,1146
481,1010
482,944
483,932
484,958
485,1023
486,1097
487,1131
488,1152
489,1161
490,1137
491,1130
492,1102
493,1051
494,1037
495,1023
496,1009
497,1008
498,1042
499,1075
500,1210
501,1465
502,1808
503,2125
504,2314
505,2358
506,2272
507,2083
508,1872
509,1641
510,1450
511,1249
512,1087
513,974
514,880
515,896
516,917
517,982
518,1040
519,1122
520,1138
521,1149
522,1128
523,1102
524,1079
525,1042
526,1022
527,1023
528,1050
529,1035
530,1077
531,1143
532,1366
533,1648
534,1989
535,2242
536,2320
537,2267
538,2096
539,1883
540,1659
541,1450
542,1258
543,1107
544,1002
545,958
546,949
547,1018
548,1089
549,1140
550,1203
551,1216
552,1215
553,1175
554,1155
555,1101
556,1050
557,1011
558,994
559,980
560,1023
561,1051
562,1170
563,1435
564,1739
565,2030
566,2218
567,2224
568,2158
569,1999
570,1778
571,1557
572,1349
573,1154
574,1035
575,928
576,919
577,969
578,1058
579,1163
580,1205
581,1264
582,1248
583,1232
584,1179
585,1168
586,1107
587,1088
588,1077
589,1057
590,1042
591,1078
592,1233
593,1503
594,1833
595,2115
596,2288
597,2288
598,2186
