Index,Amplitude (0-4096)
0,1137
1,1047
2,993
3,1006
4,1021
5,1045
6,1079
7,1057
8,1038
9,1010
10,962
11,937
12,911
13,907
14,870
15,897
16,899
17,934
18,941
19,983
20,997
21,1011
22,1052
23,1167
24,1351
25,1643
26,1902
27,2077
28,2128
29,2085
30,1941
31,1734
32,1535
33,1360
34,1183
35,1040
36,930
37,907
38,925
39,943
40,977
41,988
42,982
43,966
44,944
45,925
46,871
47,847
48,843
49,827
50,841
51,876
52,880
53,912
54,926
55,951
56,975
57,991
58,1001
59,1075
60,1234
61,1473
62,1774
63,1997
64,2080
65,2027
66,1897
67,1718
68,1515
69,1345
70,1194
71,1071
72,981
73,913
74,902
75,927
76,973
77,996
78,1021
79,1002
80,970
81,913
82,880
83,861
84,849
85,848
86,847
87,839
88,879
89,897
90,925
91,944
92,959
93,978
94,1023
95,1141
96,1315
97,1556
98,1789
99,1911
100,1936
101,1837
102,1678
103,1513
104,1337
105,1209
106,1075
107,985
108,923
109,880
110,935
111,974
112,1022
113,1040
114,1037
115,1008
116,962
117,947
118,913
119,893
120,883
121,896
122,913
123,943
124,949
125,960
126,983
127,997
128,1021
129,1111
130,1268
131,1507
132,1738
133,1885
134,1941
135,1872
136,1744
137,1565
138,1406
139,1265
140,1154
141,1036
142,961
143,921
144,909
145,945
146,978
147,1014
148,1010
149,997
150,946
151,933
152,893
153,861
154,867
155,881
156,880
157,881
158,928
159,973
160,973
161,967
162,1006
163,1017
164,1068
165,1178
166,1361
167,1578
168,1785
169,1907
170,1920
171,1872
172,1743
173,1589
174,1467
175,1343
176,1253
177,1156
178,1089
179,1058
180,1045
181,1051
182,1057
183,1071
184,1063
185,1047
186,1015
187,1001
188,997
189,963
190,963
191,980
192,980
193,994
194,1036
195,1049
196,1063
197,1081
198,1097
199,1123
200,1138
201,1235
202,1412
203,1639
204,1853
205,1991
206,2034
207,1991
208,1894
209,1765
210,1647
211,1511
212,1391
213,1289
214,1190
215,1139
216,1140
217,1135
218,1122
219,1115
220,1119
221,1082
222,1063
223,1008
224,976
225,954
226,951
227,919
228,931
229,946
230,965
231,993
232,1005
233,1013
234,1052
235,1039
236,1061
237,1079
238,1169
239,1339
240,1584
241,1810
242,1977
243,2000
244,1950
245,1825
246,1682
247,1535
248,1403
249,1263
250,1155
251,1075
252,1073
253,1038
254,1056
255,1067
256,1057
257,1033
258,1006
259,969
260,913
261,865
262,839
263,826
264,817
265,817
266,838
267,856
268,866
269,898
270,897
271,925
272,975
273,1105
274,1293
275,1530
276,1738
277,1831
278,1835
279,1761
280,1635
281,1483
282,1354
283,1227
284,1120
285,989
286,937
287,925
288,933
289,944
290,951
291,927
292,931
293,891
294,859
295,816
296,802
297,781
298,767
299,769
300,789
301,790
302,817
303,848
304,886
305,874
306,879
307,901
308,940
309,1040
310,1211
311,1456
312,1663
313,1783
314,1795
315,1739
316,1627
317,1485
318,1332
319,1232
320,1092
321,1006
322,926
323,883
324,891
325,878
326,901
327,887
328,885
329,869
330,849
331,831
332,799
333,800
334,777
335,798
336,803
337,822
338,835
339,874
340,895
341,949
342,949
343,971
344,1037
345,1168
346,1344
347,1567
348,1711
349,1772
350,1767
351,1664
352,1520
353,1418
354,1307
355,1203
356,1106
357,1023
358,1004
359,969
360,962
361,999
362,990
363,1005
364,998
365,995
366,977
367,955
368,951
369,931
370,948
371,935
372,966
373,979
374,1008
375,1023
376,1066
377,1082
378,1088
379,1128
380,1181
381,1306
382,1510
383,1709
384,1840
385,1873
386,1870
387,1766
388,1639
389,1507
390,1392
391,1281
392,1201
393,1158
394,1110
395,1139
396,1144
397,1157
398,1172
399,1151
400,1153
401,1146
402,1120
403,1088
404,1066
405,1075
406,1052
407,1081
408,1082
409,1088
410,1105
411,1129
412,1143
413,1163
414,1215
415,1365
416,1573
417,1754
418,1887
419,1941
420,1894
421,1804
422,1659
423,1533
424,1413
425,1296
426,1207
427,1146
428,1094
429,1100
430,1136
431,1162
432,1203
433,1179
434,1157
435,1136
436,1095
437,1071
438,1056
439,1056
440,1044
441,1047
442,1067
443,1076
444,1095
445,1104
446,1105
447,1135
448,1180
449,1294
450,1491
451,1733
452,1925
453,1998
454,1968
455,1871
456,1743
457,1592
458,1467
459,1347
460,1263
461,1162
462,1125
463,1088
464,1099
465,1131
466,1135
467,1125
468,1104
469,1091
470,1016
471,1002
472,980
473,957
474,951
475,958
476,974
477,1004
478,1019
479,1045
480,1082
481,1091
482,1093
483,1104
484,1185
485,1318
486,1533
487,1749
488,1904
489,1930
490,1882
491,1744
492,1609
493,1471
494,1347
495,1257
496,1182
497,1107
498,1065
499,1058
500,1059
501,1072
502,1088
503,1095
504,1103
505,1081
506,1045
507,1033
508,1007
509,1009
510,1014
511,1011
512,1055
513,1067
514,1104
515,1131
516,1151
517,1183
518,1187
519,1210
520,1202
521,1262
522,1398
523,1600
524,1814
525,1968
526,2025
527,1963
528,1847
529,1702
530,1585
531,1453
532,1340
533,1237
534,1190
535,1163
536,1154
537,1173
538,1197
539,1221
540,1231
541,1206
542,1179
543,1147
544,1121
545,1103
546,1107
547,1115
548,1134
549,1159
550,1190
551,1191
552,1213
553,1243
554,1251
555,1257
556,1285
557,1334
558,1472
559,1680
560,1899
561,2058
562,2109
563,2032
564,1931
565,1779
566,1655
567,1501
568,1408
569,1319
570,1266
571,1245
572,1246
573,1279
574,1313
575,1328
576,1319
577,1290
578,1238
579,1194
580,1193
581,1164
582,1155
583,1168
584,1183
585,1200
586,1206
587,1231
588,1264
589,1264
590,1261
591,1296
592,1331
593,1457
594,1651
595,1909
596,2110
597,2178
598,2147
599,2043
600,1881
601,1731
602,1607
603,1498
604,1386
605,1319
606,1235
607,1216
608,1229
609,1252
610,1247
611,1242
612,1232
613,1202
614,1158
615,1125
616,1097
617,1083
618,1063
619,1070
620,1095
621,1126
622,1158
623,1171
624,1187
625,1195
626,1218
627,1232
628,1267
629,1414
630,1643
631,1883
632,2087
633,2158
634,2109
635,1985
636,1833
637,1680
638,1535
639,1425
640,1328
641,1232
642,1201
643,1158
644,1181
645,1214
646,1223
647,1235
648,1222
649,1195
650,1146
651,1120
652,1090
653,1067
654,1055
655,1071
656,1097
657,1111
658,1136
659,1168
660,1195
661,1193
662,1215
663,1235
664,1233
665,1274
666,1345
667,1531
668,1783
669,2005
670,2146
671,2170
672,2043
673,1904
674,1739
675,1597
676,1473
677,1366
678,1285
679,1212
680,1189
681,1178
682,1211
683,1247
684,1256
685,1247
686,1204
687,1168
688,1147
689,1136
690,1090
691,1079
692,1085
693,1085
694,1107
695,1126
696,1154
697,1183
698,1219
699,1222
700,1245
701,1278
702,1447
703,1703
704,1950
705,2123
706,2161
707,2096
708,1942
709,1773
710,1609
711,1472
712,1348
713,1258
714,1175
715,1142
716,1156
717,1207
718,1232
719,1250
720,1258
721,1227
722,1200
723,1170
724,1116
725,1108
726,1088
727,1084
728,1093
729,1119
730,1151
731,1168
732,1183
733,1205
734,1232
735,1300
736,1425
737,1659
738,1936
739,2149
740,2227
741,2160
742,2057
743,1895
744,1725
745,1606
746,1479
747,1367
748,1265
749,1210
750,1187
751,1194
752,1232
753,1258
754,1276
755,1250
756,1222
757,1182
758,1125
759,1091
760,1077
761,1056
762,1085
763,1111
764,1130
765,1166
766,1185
767,1215
768,1232
769,1250
770,1273
771,1285
772,1310
773,1439
774,1696
775,1969
776,2198
777,2317
778,2277
779,2153
780,1989
781,1798
782,1626
783,1509
784,1393
785,1319
786,1239
787,1207
788,1205
789,1200
790,1230
791,1242
792,1243
793,1211
794,1167
795,1139
796,1088
797,1088
798,1063
799,1075
800,1081
801,1116
802,1149
803,1163
804,1181
805,1200
806,1232
807,1226
808,1262
809,1269
810,1273
811,1295
812,1289
813,1295
814,1309
815,1308
816,1332
817,1434
818,1646
819,1942
820,2251
821,2401
822,2402
823,2275
824,2105
825,1881
826,1713
827,1557
828,1429
829,1335
830,1259
831,1232
832,1239
833,1270
834,1284
835,1294
836,1293
837,1247
838,1200
839,1155
840,1129
841,1104
842,1087
843,1089
844,1101
845,1099
846,1127
847,1162
848,1199
849,1222
850,1231
851,1239
852,1302
853,1421
854,1650
855,1891
856,2081
857,2135
858,2077
859,1941
860,1788
861,1632
862,1502
863,1381
864,1279
865,1216
866,1195
867,1200
868,1242
869,1294
870,1301
871,1311
872,1296
873,1274
874,1249
875,1209
876,1181
877,1175
878,1175
879,1182
880,1206
881,1223
882,1237
883,1246
884,1307
885,1331
886,1355
887,1346
888,1392
889,1530
890,1758
891,2027
892,2224
893,2304
894,2257
895,2102
896,1951
897,1781
898,1648
899,1520
900,1428
901,1345
902,1305
903,1299
904,1316
905,1351
906,1375
907,1380
908,1363
909,1344
910,1313
911,1279
912,1246
913,1247
914,1232
915,1225
916,1251
917,1275
918,1289
919,1309
920,1337
921,1365
922,1376
923,1427
924,1499
925,1712
926,1963
927,2209
928,2332
929,2365
930,2283
931,2135
932,1967
933,1809
934,1680
935,1535
936,1451
937,1360
938,1343
939,1332
940,1347
941,1375
942,1409
943,1410
944,1369
945,1345
946,1303
947,1266
948,1231
949,1215
950,1211
951,1213
952,1224
953,1266
954,1307
955,1328
956,1343
957,1359
958,1365
959,1415
960,1535
961,1775
962,2025
963,2237
964,2303
965,2258
966,2099
967,1935
968,1765
969,1637
970,1484
971,1363
972,1275
973,1241
974,1275
975,1285
976,1342
977,1377
978,1378
979,1349
980,1305
981,1264
982,1232
983,1187
984,1199
985,1183
986,1194
987,1199
988,1227
989,1232
990,1271
991,1277
992,1315
993,1367
994,1535
995,1790
996,2027
997,2192
998,2235
999,2175
1000,2015
1001,1842
1002,1685
1003,1553
1004,1439
1005,1330
1006,1246
1007,1205
1008,1216
1009,1245
1010,1271
1011,1296
1012,1311
1013,1264
1014,1239
1015,1210
1016,1188
1017,1152
1018,1151
1019,1159
1020,1166
1021,1191
1022,1223
1023,1264
1024,1307
1025,1325
1026,1322
1027,1326
1028,1331
1029,1371
1030,1411
1031,1535
1032,1811
1033,2083
1034,2292
1035,2370
1036,2310
1037,2167
1038,1986
1039,1821
1040,1699
1041,1563
1042,1450
1043,1360
1044,1282
1045,1253
1046,1281
1047,1293
1048,1304
1049,1315
1050,1302
1051,1261
1052,1232
1053,1203
1054,1171
1055,1165
1056,1145
1057,1145
1058,1176
1059,1198
1060,1255
1061,1281
1062,1305
1063,1313
1064,1328
1065,1351
1066,1363
1067,1378
1068,1375
1069,1391
1070,1424
1071,1566
1072,1811
1073,2091
1074,2330
1075,2416
1076,2378
1077,2237
1078,2065
1079,1887
1080,1710
1081,1587
1082,1459
1083,1379
1084,1293
1085,1277
1086,1289
1087,1307
1088,1331
1089,1347
1090,1328
1091,1271
1092,1253
1093,1209
1094,1183
1095,1164
1096,1152
1097,1168
1098,1168
1099,1205
1100,1232
1101,1274
1102,1298
1103,1325
1104,1361
1105,1372
1106,1374
1107,1376
1108,1390
1109,1374
1110,1447
1111,1605
1112,1856
1113,2142
1114,2327
1115,2386
1116,2303
1117,2147
1118,1946
1119,1777
1120,1627
1121,1481
1122,1358
1123,1293
1124,1264
1125,1271
1126,1303
1127,1360
1128,1361
1129,1343
1130,1305
1131,1264
1132,1186
1133,1153
1134,1136
1135,1109
1136,1120
1137,1142
1138,1184
1139,1181
1140,1211
1141,1246
1142,1296
1143,1293
1144,1297
1145,1314
1146,1360
1147,1515
1148,1769
1149,2025
1150,2218
1151,2258
1152,2163
1153,2006
1154,1859
1155,1674
1156,1557
1157,1429
1158,1324
1159,1237
1160,1203
1161,1203
1162,1226
1163,1264
1164,1266
1165,1279
1166,1248
1167,1216
1168,1168
1169,1139
1170,1111
1171,1098
1172,1089
1173,1101
1174,1134
1175,1150
1176,1183
1177,1223
1178,1226
1179,1249
1180,1269
1181,1291
1182,1329
1183,1426
1184,1621
1185,1898
1186,2146
1187,2279
1188,2274
1189,2131
1190,1965
1191,1796
1192,1642
1193,1499
1194,1397
1195,1296
1196,1220
1197,1185
1198,1187
1199,1200
1200,1232
1201,1232
1202,1250
1203,1214
1204,1205
1205,1149
1206,1125
1207,1083
1208,1079
1209,1077
1210,1097
1211,1098
1212,1151
1213,1179
1214,1201
1215,1231
1216,1264
1217,1264
1218,1287
1219,1273
1220,1327
1221,1404
1222,1607
1223,1873
1224,2130
1225,2285
1226,2272
1227,2163
1228,2000
1229,1840
1230,1663
1231,1511
1232,1399
1233,1296
1234,1226
1235,1200
1236,1203
1237,1245
1238,1280
1239,1276
1240,1296
1241,1264
1242,1203
1243,1168
1244,1136
1245,1154
1246,1202
1247,1261
1248,1398
1249,1503
1250,1552
1251,1533
1252,1254
1253,4095
1254,4095
1255,4095
1256,4095
1257,4095
1258,4095
1259,4095
1260,4095
1261,4095
1262,4095
1263,4095
1264,4095
1265,4095
1266,3138
1267,1951
1268,947
1269,162
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,507
1351,3846
1352,4095
1353,3140
1354,2854
1355,1965
1356,1181
1357,597
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
